order_id,customer_id,order_date,suburb,state,postcode,product_category,quantity,unit_price_aud,discount_pct,shipping_fee_aud,sales_channel,payment_method,net_revenue_aud
ORD00983,CUST0138,2024-01-01,Sydney,NSW,2000,Fashion,2,133.68,20,4.99,In-Store,Apple Pay,218.88
ORD00668,CUST0207,2024-01-01,Sydney,NSW,2000,Groceries,3,23.63,5,7.99,Online,Mastercard,75.34
ORD00368,CUST0079,2024-01-01,Cairns,QLD,4870,Pet Care,2,86.55,0,0.0,In-Store,Apple Pay,173.1
ORD01101,CUST0192,2024-01-01,Mount Gambier,SA,5290,Household,1,27.1,0,12.99,Online,PayPal,40.09
ORD01201,CUST0200,2024-01-02,Townsville,QLD,4810,Household,1,84.06,5,0.0,Online,Visa,79.86
ORD00901,CUST0070,2024-01-03,Fremantle,WA,6160,Beauty,3,18.91,10,0.0,Mobile App,Mastercard,51.06
ORD01284,CUST0068,2024-01-03,Dandenong,VIC,3175,Household,4,13.16,15,7.99,In-Store,Mastercard,52.73
ORD00524,CUST0022,2024-01-03,Fremantle,WA,6160,Household,1,85.17,15,7.99,Mobile App,PayPal,80.38
ORD00892,CUST0086,2024-01-03,Sydney,NSW,2000,Fashion,1,46.41,5,4.99,Online,Afterpay,49.08
ORD00796,CUST0128,2024-01-03,Wollongong,NSW,2500,Pet Care,1,80.19,15,7.99,In-Store,Mastercard,76.15
ORD01177,CUST0169,2024-01-03,Cairns,QLD,4870,Sports,2,92.95,0,12.99,Online,PayPal,198.89
ORD00948,CUST0142,2024-01-05,Sydney,NSW,2000,Sports,1,83.78,10,9.99,In-Store,Apple Pay,85.39
ORD01106,CUST0088,2024-01-05,Perth,WA,6000,Groceries,1,19.96,0,4.99,Online,PayPal,24.95
ORD00925,CUST0076,2024-01-05,Gold Coast,QLD,4217,Beauty,2,24.86,15,0.0,Online,PayPal,42.26
ORD01014,CUST0038,2024-01-05,Fremantle,WA,6160,Groceries,1,12.4,0,9.99,Online,Afterpay,22.39
ORD00989,CUST0178,2024-01-05,Ballarat,VIC,3350,Groceries,1,11.8,15,4.99,Mobile App,Mastercard,15.02
ORD00945,CUST0175,2024-01-06,Wollongong,NSW,2500,Household,2,19.16,0,0.0,Mobile App,Mastercard,38.32
ORD01156,CUST0086,2024-01-06,Sydney,NSW,2000,Pet Care,1,63.36,0,9.99,Online,Apple Pay,73.35
ORD00446,CUST0099,2024-01-06,Perth,WA,6000,Groceries,2,49.42,10,4.99,Mobile App,Visa,93.95
ORD00434,CUST0054,2024-01-07,Melbourne,VIC,3000,Baby,2,153.11,5,0.0,Mobile App,Apple Pay,290.91
ORD01091,CUST0035,2024-01-07,Parramatta,NSW,2150,Pet Care,3,148.19,0,4.99,In-Store,PayPal,449.56
ORD01097,CUST0038,2024-01-07,Fremantle,WA,6160,Household,1,30.6,5,7.99,Online,Visa,37.06
ORD01253,CUST0040,2024-01-08,Mount Gambier,SA,5290,Beauty,3,16.04,20,0.0,Online,PayPal,38.5
ORD00059,CUST0026,2024-01-08,Perth,WA,6000,Sports,1,34.58,0,12.99,Mobile App,Mastercard,47.57
ORD01072,CUST0110,2024-01-08,Dandenong,VIC,3175,Groceries,2,34.34,0,7.99,Online,Visa,76.67
ORD01271,CUST0038,2024-01-08,Fremantle,WA,6160,Household,1,36.66,20,9.99,Online,Mastercard,39.32
ORD00746,CUST0165,2024-01-09,Adelaide,SA,5000,Household,2,48.85,5,12.99,Online,Visa,105.81
